method,scenario_id,scenario,rep,n,eta,alpha_share,ATE_est,NDE_d1_est,NDE_d0_est,NIE_d1_est,NIE_d0_est,ATE_true,NDE_d1_true,NDE_d0_true,NIE_d1_true,NIE_d0_true,ATE_bias,NDE_d1_bias,NDE_d0_bias,NIE_d1_bias,NIE_d0_bias,converged,first_10_loss,last_10_loss,last_10_loss_sd,relative_drop,relative_sd
lsem_proxyX,1,n500_eta1_share10_pc10,67,500,1,0.100000,0.329024,0.057392,0.057392,0.271632,0.271632,0.000000,0.000000,0.000000,0.000000,0.000000,0.329024,0.057392,0.057392,0.271632,0.271632,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,68,500,1,0.100000,0.190977,0.022449,0.022449,0.168528,0.168528,0.000000,0.000000,0.000000,0.000000,0.000000,0.190977,0.022449,0.022449,0.168528,0.168528,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,69,500,1,0.100000,0.021978,-0.123667,-0.123667,0.145646,0.145646,0.000000,0.000000,0.000000,0.000000,0.000000,0.021978,-0.123667,-0.123667,0.145646,0.145646,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,70,500,1,0.100000,0.101650,-0.099777,-0.099777,0.201427,0.201427,0.000000,0.000000,0.000000,0.000000,0.000000,0.101650,-0.099777,-0.099777,0.201427,0.201427,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,71,500,1,0.100000,0.087907,-0.113188,-0.113188,0.201095,0.201095,0.000000,0.000000,0.000000,0.000000,0.000000,0.087907,-0.113188,-0.113188,0.201095,0.201095,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,72,500,1,0.100000,0.144669,-0.064121,-0.064121,0.208791,0.208791,0.000000,0.000000,0.000000,0.000000,0.000000,0.144669,-0.064121,-0.064121,0.208791,0.208791,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,73,500,1,0.100000,0.194999,0.010854,0.010854,0.184145,0.184145,0.000000,0.000000,0.000000,0.000000,0.000000,0.194999,0.010854,0.010854,0.184145,0.184145,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,74,500,1,0.100000,0.211228,0.047692,0.047692,0.163536,0.163536,0.000000,0.000000,0.000000,0.000000,0.000000,0.211228,0.047692,0.047692,0.163536,0.163536,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,75,500,1,0.100000,0.205390,-0.070976,-0.070976,0.276366,0.276366,0.000000,0.000000,0.000000,0.000000,0.000000,0.205390,-0.070976,-0.070976,0.276366,0.276366,,,,,,
lsem_proxyX,1,n500_eta1_share10_pc10,76,500,1,0.100000,0.112722,0.104939,0.104939,0.007783,0.007783,0.000000,0.000000,0.000000,0.000000,0.000000,0.112722,0.104939,0.104939,0.007783,0.007783,,,,,,
